"Grantmaker.Name","Grantmaker.State","Recipient.Name","Recipient.City","Recipient.State.Country","Primary.Subject","Year.Authorized","Grant.Amount","Support.Strategies","Description"
"Grosfeld Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2007,20000,"",""
"Samuel I Newhouse Foundation Inc","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,17000,"",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,16000,"Continuing support;General support","For general support"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,11000,"Continuing support;General support","For general support"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,10000,"Program support","For program development"
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,10000,"Continuing support",""
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,10000,"Capacity-building and technical assistance;Program support;Research and evaluation","For Scientific Advisory council"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,10000,"General support","For general operating support"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,4190,"General support","For unrestricted grant to general fund"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,4000,"","To organize holiday celebrations for children hospitalized at DeVos Children&#039;s Hospital during the 2007 holiday season"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,3500,"General support","For unrestricted grant to general fund"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,2500,"",""
"Perrigo Company Charitable Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,2500,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,2000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,1000,"",""
"The Samuel L Westerman Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,1000,"",""
"De Witt Families Conduit Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,1000,"",""
"Baird Foundation Inc","WI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,1000,"",""
"Keeler Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,600,"",""
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2007,500,"",""
"The Eppert Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2007,300,"",""
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,5000000,"Building and renovations","For construction of new Children&#039;s Hospital"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,2018500,"General support","For unrestricted support"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,2000000,"General support","For general support"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,1500000,"",""
"The Meijer Foundation","MI","Corewell Health","Grand Rapids","MI","Community health care ",2006,334000,"",""
"The Ann and Bob Aikens Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,257250,"",""
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,250000,"Continuing support",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,210000,"Continuing support;General support","For general operating support"
"The Meijer Foundation","MI","Corewell Health","Grand Rapids","MI","Children's hospital care ",2006,75500,"Continuing support;Fundraising;General support;Regranting","For general support of Children&#039;s Miracle Network"
"Springview Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,56460,"",""
"The Doornink Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,50000,"",""
"Fifth Third Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,40000,"Capital and infrastructure","For capital support"
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,39640,"General support","For general operating support"
"Howard Miller Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,25000,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,25000,"Capital campaigns;Continuing support","For support for the For Our Kids capital campaign"
"Maxine and Stuart Frankel Charitable Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,20500,"",""
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,20000,"",""
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,20000,"",""
"Charles W Loosemore Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,15000,"",""
"Cooper Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,12000,"",""
"Cooper Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,12000,"",""
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,11112,"Equipment","For purchase of twelve rocking chairs"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,10000,"General support","For general operating support"
"The Gerber Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,10000,"Continuing support;Fundraising","For continued support of annual Gala"
"The Barton Malow Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,10000,"",""
"Rordor Foundation","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,10000,"",""
"Ralph L & Winifred E Polk Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,10000,"",""
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,10000,"",""
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2006,10000,"Capital and infrastructure;Continuing support","For Heart Center"
"Jacob Best Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,6500,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,6400,"",""
"The Skillman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,5000,"",""
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,5000,"","For general/operating support"
"Triford Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,5000,"",""
"Onequest Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,3500,"",""
"Louis F and Florence H Weyand 1977","WI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,1000,"",""
"The Sehn Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,1000,"",""
"De Witt Families Conduit Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,1000,"",""
"The Samuel L Westerman Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,1000,"",""
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2006,1000,"",""
"Owen Charitable Foundation","FL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,500,"",""
"Malott Family Foundation","IL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2006,100,"",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,1708000,"Continuing support;General support","For general support"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2005,1510000,"Capital and infrastructure;Continuing support","For Heart Center"
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,1000000,"Capital and infrastructure","For DeVos Children&#039;s Hospital capital support"
"The Carls Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Children's hospital care ",2005,1000000,"Capital campaigns","For capital campaign to create children&#039;s medical/pediatric center at Royal Oak facility"
"The Eugene Applebaum Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,300000,"",""
"Max M. and Marjorie S. Fisher Foundation, Inc.","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,255000,"",""
"Crn Foundation","MA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,250000,"",""
"Ford Philanthropy","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,250000,"Continuing support",""
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,250000,"",""
"The Richard and Helen Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,215000,"Continuing support;General support","For general support"
"Edward & Helen Mardigian Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,200000,"",""
"The Eugene Applebaum Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,200000,"",""
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,382170,"","CF CARE CENTER"
"James and Shirley Balk Foundation","MI","Helen DeVos Childrens Hospital Foundation - Spectrum Health Founda","Grand Rapids","MI"," ",2022,350000,"General support","GENERAL SUPPORT"
"The Hough Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,260000,"","MEDICAL SERVICES"
"Fidelity Investments Charitable Gift Fund","MA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,259800,"","For grant recipient&#039;s exempt purposes"
"UNITED WAY FOR SOUTHEASTERN MICHIGAN","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,250000,"","GRANT"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,250000,"Endowments","Spectrum Care Partners Endowment"
"Community Foundation for Southeast Michigan","MI","Spectrum Health Foundation","Grand Rapids","MI","Mental health care ",2022,249102,"","STATE OPIOID RESPONSE"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Mental health care ",2022,233439,"","STATE OPIOID RESPONSE"
"Emil and Stella Banich Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Family counseling ",2022,200000,"","CENTER FOR EXCEPTIONAL FAMILIES"
"Seattle Children's Hospital","WA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2022,189531,"Research","PEDIATRIC MEDICAL RESEARCH GRANT SUBAWARD"
"Dick and Betsy Devos Family Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Medical counseling ",2022,183000,"","PROJECT/PROGRAM - CLINICAL PASTORAL EDUCATION"
"The Carls Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Rehabilitation ",2022,179243,"Equipment","PURCHASE OF EQUIPMENT FOR PEDIATRIC REHABILITATION PROGRAM"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,171024,"Research;Financial sustainability","CLINICAL RESEARCH CENTER"
"Rite Aid Healthy Futures","PA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2022,150000,"","SUPPORT LOCAL KIDS PROGRAMS"
"Douglas & Maria Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,150000,"General support","GENERAL OPERATING"
"Cdv5 Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2022,150000,"Capital campaigns","CAPITAL CAMPAIGN"
"Dick and Betsy Devos Family Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2022,150000,"Capital campaigns","CAPITAL CAMPAIGN"
"Celani Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,143000,"","TO PROVIDE SUPPORT TO THOSE IN NEED"
"Community Foundation for Southeast Michigan","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2022,125658,"Capital campaigns;Research","CAPITAL CAMPAIGN/GENERAL OPERATIONS/HEALTH CARE PROGRAM/HEALTH CARE RESEARCH"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Education ",2022,125000,"Program support","Helen DeVos Children&#039;s Hospital Foundation School Program - Salary Support for a Second Teacher"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Spectrum Health Foundation","Big Rapids","MI"," ",2022,117700,"","HEALTH"
"Douglas a & Margaret E Decamp Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,102500,"Financial sustainability","Yr 3 of 5 Surgery Center pmt. Julep Gala - Preakness Stakes level sponsor. 2022 surgical center pledge pmt."
"Ethel and James Flinn Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2022,100000,"Program support","TO PILOT A BRIDGE THE GAP PROGRAM THAT CONNECTS PATIENTS RELEASED FROM THE ER TO LONG-TERM OUTPATIENT COMMUNITY PARTNERS BY PROVIDING BEHAVIORAL HEALTH CARE AND CASE MANAGEMENT."
"Maibach Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,91000,"Endowments","ENDOWMENT FUND"
"Toni a Wisne Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Arts and culture ",2022,85000,"","USE CONSISTENT WITH 501(C)(3) STATUS"
"American Cancer Society, Inc.","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,80000,"","Patient Support"
"Cascade Hemophilia Consortium","MI","Corewell Health Foundation West Michigan","Grand Rapids","MI","Health ",2022,71715,"","Support for medical services for persons with hemophilia and related bleeding disorders"
"The Children's Hospital of Philadelphia","PA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2022,70508,"Research","RESEARCH"
"Barry Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,70348,"General support","GENERAL SUPPORT"
"Gladys Friant Trust Under Will","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,66680,"General support","GENERAL OPERATING SUPPORT"
"National Philanthropic Trust","PA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,53000,"","HEALTH"
"Donor Advised Charitable Giving, Inc. (dba: DAFgiving360)","CO","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,53000,"","HEALTH"
"Rite Aid Healthy Futures","PA","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,50000,"","SUPPORT LOCAL KIDS PROGRAMS"
"Brown Tassell Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,50000,"","OPERATING"
"O'donovan Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Hospital care ",2022,50000,"Research","Pediatric Cancer Research"
"Ford Philanthropy","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,50000,"","HEALTH"
"Cdv5 Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Medical counseling ",2022,50000,"","PROJECT/PROGRAM - CLINICAL PASTORAL EDUCATION"
"The Meijer Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,50000,"Program support;General support","PROJECT/PROGRAM SUPPORT"
"The Steve Toth Jr Family Foundation","GA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,50000,"General support","GENERAL SUPPORT"
"THE CHILDREN'S ONCOLOGY GROUP FOUNDATION, INC.","PA","Spectrum Health Hospitals","Grand Rapids","MI","Education ",2022,49950,"","TO CURE CHILDREN AND IMPROVE CAPACITY AND QUALITY OF TREATMENT"
"National Breast Cancer Foundation, Inc.","TX","Spectrum Health Foundation","Grand Rapids","MI","Breast cancer ",2022,44843,"","SCREENING &amp; DIAGNOSTICS &amp; patient navigation"
"Charities Aid Foundation of America","VA","Spectrum Health Foundation","Big Rapids","MI"," ",2022,44352,"","CHARITABLE DONATION"
"Morgan Stanley Global Impact Funding Trust Inc","IN","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,40000,"General support","UNRESTRICTED GENERAL SUPPORT"
"Kutsche Charitable Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,40000,"","ANNUAL FUND"
"Hemophilia Foundation of Michigan","MI","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2022,37845,"","MEDICAL SERVICES"
"Daniel & Pamella Devos Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,35000,"General support","GENERAL OPERATING"
"Cdv5 Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,35000,"General support","GENERAL OPERATING"
"The Reinvestment Fund","PA","Spectrum Health Foundation","Grand Rapids","MI","Health ",2022,31050,"","SUSTAINING THE INVEST HEALTH NETWORK AND EXPANDING LEARNING TO OTHER SMALL TO MIDSIZE CITIES SO ALL RESIDENTS CAN LIVE MORE EQUITBLE, HEALTHIER LIVES"
"Racing for Kids C/o J Patrick Wright","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,30000,"General support","GENERAL SUPPORT"
"The Barton Malow Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,30000,"","HUMAN SERVICES"
"Amyotrophic Lateral Sclerosis Association","VA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,25000,"Research","ANNUAL GRANT PAYMENT FY22 CENTER OF EXCELLENCE/RESEARCH"
"Hunt for a Cure Inc","MI","Corewell Health","Grand Rapids","MI","Health ",2022,25000,"Research","To continue support of the clinical research lab"
"Eagle Feather Foundation","GA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,25000,"General support","SUPPORT"
"Charles Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,25000,"General support","GENERAL SUPPORT"
"Harry A. and Margaret D. Towsley Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,25000,"Program support;General support","PROGRAM SUPPORT"
"Trott Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2022,25000,"","MEDICAL PROGRAM FOR CHILDREN"
"Donald and Norma Golden Fam Foundation C/o Bruce Kahn Esq","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,25000,"","HEALTH CARE"
"Peter and Joan Secchia Family Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Hospital care ",2022,25000,"Financial sustainability","Helen DeVos Childrens Hospital Gala"
"Sedge Plitt Charitable Trust III C/o Loren Stone","IL","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,25000,"General support","GENERAL FUNDS"
"Cystic Fibrosis Foundation","MD","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,20061,"","ADULT CARE"
"The Kirk Gibson Foundation for Parkinson's","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,20000,"",""
"Edgar & Elsa Prince Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,20000,"General support","OPERATING SUPPORT"
"Jack and Lija Romence Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,20000,"","CHARITABLE"
"Community Foundation for Muskegon County","MI","Spectrum Health Ludington Hospital Foundation","Ludington","MI"," ",2022,19000,"General support","GENERAL SUPPORT"
"Grand Rapids Community Foundation","MI","Spectrum Health United","Greenville","MI","Health ",2022,16000,"Annual campaigns","Spectrum Health Foundation Annual Gift"
"John W Blodgett Irrevocable Trust","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,15190,"General support","UNRESTRICTED GENERAL"
"Mary Free Bed Rehabilitation Hospital","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,15000,"Program support;General support","PROGRAM SUPPORT"
"Muscular Dystrophy Association","IL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,15000,"","MEDICAL DIAGNOSIS"
"American Cancer Society, Inc.","GA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,15000,"","Patient Support"
"Barbara Bradley Baekgaard Family Foundation","PA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,15000,"","COMMUNITY LIFE"
"Barron Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","In-patient medical care ",2022,15000,"Program support","BEAUMONT HOSPITAL, ROYAL OAK GREATEST NEEDS FUND"
"VERA AND JOSEPH DRESNER FOUNDATION","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,15000,"Program support;General support","PROGRAM SUPPORT"
"Wolverine World Wide Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,15000,"","Health"
"Trust Uw William Gilbert","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,14500,"","ANNUAL FUND"
"Corewell Health Group Return","MI","Corewell Health","Grand Rapids","MI","Community health care ",2022,14043,"","TO SUPPORT EXEMPT PURPOSE"
"Community Foundation for Southeast Michigan","MI","Spectrum Health Hospitals","Grand Rapids","MI","Mental health care ",2022,12824,"","STATE OPIOID RESPONSE"
"HEART OF WEST MICHIGAN UNITED WAY","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,12567,"","DONOR DESIGNATION"
"PUBLIC HEALTH INSTITUTE","CA","Spectrum Health Hospitals","Grand Rapids","MI","Hospital care ",2022,11740,"Research","Research"
"American Endowment Foundation","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,11500,"","HEALTH, GENERAL"
"Others First Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,10000,"",""
"Grand Haven Area Community Foundation Inc","MI","Corewell Health","Grand Rapids","MI","Community health care ",2022,10000,"","HEALTH-GENERAL AND REHABITITATIVE"
"Delta Dental Plan of Michigan Inc","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,10000,"","CHARITABLE DONATION"
"The Cold Heading Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,10000,"","TO SUPPORT THE ORGANIZATION&#039;S MISSION"
"Douglas & Sandra Dekock Family Foun C/o Douglas Dekock","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,10000,"","NON-PROFIT"
"Strum Allesee Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,10000,"","HEALTHCARE"
"THE SKOLL FOUNDATION","CA","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Health ",2022,10000,"","MAX AND DEBRA ERNST HEART CENTER"
"Donald and Mary Kosch Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,10000,"General support","GENERAL"
"Rev Foundation","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI","Mental health care ",2022,10000,"","PROJECT/PROGRAM - BEHAVIORAL HEALTH CLINIC"
"Robert Nelson Foundation","CA","Spectrum Health Helen Devos Children's Hospital","Grand Rapids","MI"," ",2022,10000,"","childrens health"
"THE GREENVILLE AREA COMMUNITY FOUNDATION","MI","Corewell Health Foundation West Mi","GRAND RAPIDS","MI"," ",2022,9951,"","YEARLY DRAW"
"Parkinson's Foundation","NY","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,9621,"",""
"Robert Graham Hospital Fund Utgf","TX","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,8246,"General support","UNRESTRICTED GENERAL"
"Grand Rapids Community Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Hospital care ",2022,7500,"","Helen DeVos Children&#039;s Hospital Foundation"
"The Fraternal Order of Eagles Foundation","OH","Corewell Health","Grand Rapids","MI","Education ",2022,7000,"Equipment","EDUCATIONAL MATERIALS/EQUIPMENT/SUPPLIES"
"National Philanthropic Trust","PA","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,6000,"","HEALTH"
"Evan's Victory Against Neuroblastoma Foundation Inc","MD","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,6000,"",""
"Grosfeld Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,6000,"","UNRESTRICTED CHARITABLE GIFT"
"Great Lakes Timber Professionals Association Inc","WI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2022,5843,"","DONATION CMN"
"Great Lakes Timber Professionals Association Inc","WI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2022,5843,"","DONATION CMN"
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,104750,"Continuing support;General support","For general operating support"
"Wheeler Family Foundation Inc","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,100000,"",""
"Rordor Foundation","FL","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,100000,"",""
"Springview Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,63500,"",""
"Lear Corporation Charitable Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,50000,"",""
"The Carls Foundation","MI","Corewell Health","Grand Rapids","MI","Speech and hearing rehabilitation ",2005,44008,"Equipment","For audiology booth, audiometer, speakers and other equipment for diagnostic evaluations for hearing tests at Butterworth campus"
"Fifth Third Trust","OH","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,40000,"Capital and infrastructure;Continuing support","For capital support"
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,40000,"Continuing support",""
"The Wege Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,40000,"Continuing support",""
"Mann Family Foundation","RI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,34246,"",""
"The Barton Malow Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,30000,"",""
"Frey Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Heart and circulatory system diseases ",2005,25000,"Building and renovations","To build technologically advanced Heart Center on corner of Michigan and Barclay streets"
"The Seligman Family Foundation","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,20000,"",""
"Klopcic Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,15000,"",""
"Dick and Betsy Devos Family Foundation","MI","Spectrum Health Foundation","Grand Rapids","MI","Community health care ",2005,15000,"Continuing support;General support","For general operating support"
"The Rodney Fund","MI","Corewell Health Foundation-Southeast Michigan","Southfield","MI","Hospital care ",2005,10000,"",""
